Namespace(alpha=0.2, batch_size=2048, beta=0.3, dataset='AMusic', decay=0.0001, early_stop=50, emb_size=64, epochs=1000, gpu_id=1, initilizer='normal', layer=4, lr=0.001, seed=2022, self_loop=0, task='train', top_H=4, topks='[10, 20]')
EPOCH 296/1000 [0.25s], loss: 0.01878
EPOCH 297/1000 [0.26s], loss: 0.01879
EPOCH 298/1000 [0.25s], loss: 0.01899
EPOCH 299/1000 [0.26s], loss: 0.01899
EPOCH 300/1000 [0.26s], loss: 0.01856
[TEST 0.34s], {'precision': [0.05298683, 0.03819708], 'recall': [0.22442028, 0.31282389], 'ndcg': [0.15713792, 0.18487103]}
EPOCH 301/1000 [0.34s], loss: 0.01892
EPOCH 302/1000 [0.25s], loss: 0.01937
EPOCH 303/1000 [0.26s], loss: 0.01942
EPOCH 304/1000 [0.25s], loss: 0.01805
EPOCH 305/1000 [0.25s], loss: 0.01957
EPOCH 306/1000 [0.26s], loss: 0.01941
EPOCH 307/1000 [0.26s], loss: 0.01853
EPOCH 308/1000 [0.27s], loss: 0.01869
EPOCH 309/1000 [0.26s], loss: 0.01841
EPOCH 310/1000 [0.26s], loss: 0.01906
[TEST 0.36s], {'precision': [0.05293268, 0.03819708], 'recall': [0.22456359, 0.31337949], 'ndcg': [0.15736176, 0.18520107]}
EPOCH 311/1000 [0.3s], loss: 0.01821
EPOCH 312/1000 [0.23s], loss: 0.01852
EPOCH 313/1000 [0.26s], loss: 0.01923
EPOCH 314/1000 [0.26s], loss: 0.01870
EPOCH 315/1000 [0.26s], loss: 0.01849
EPOCH 316/1000 [0.26s], loss: 0.01936
EPOCH 317/1000 [0.26s], loss: 0.01909
EPOCH 318/1000 [0.26s], loss: 0.01796
EPOCH 319/1000 [0.25s], loss: 0.01822
EPOCH 320/1000 [0.26s], loss: 0.01940
[TEST 0.34s], {'precision': [0.05307706, 0.03829634], 'recall': [0.22571871, 0.31327769], 'ndcg': [0.15818509, 0.18576405]}
EPOCH 321/1000 [0.37s], loss: 0.01768
